路名,交通态势,速度,经度,纬度,编号
亚厦大道,2,57,120.859802,29.9995556,0
亚厦大道,2,57,120.859848,29.9995651,0
亚厦大道,2,57,120.859894,29.9995823,0
亚厦大道,2,57,120.859932,29.999609,0
亚厦大道,2,57,120.85994,29.9996262,0
亚厦大道,2,35,120.863037,30.0000362,1
亚厦大道,2,35,120.863007,29.9999905,1
亚厦大道,2,35,120.862968,29.9999504,1
亚厦大道,2,35,120.86293,29.9999199,1
亚厦大道,2,35,120.862877,29.999897,1
亚厦大道,2,35,120.862839,29.999876,1
亚厦大道,2,35,120.862686,29.9998302,1
亚厦大道,2,35,120.862389,29.9997597,1
亚厦大道,2,35,120.862045,29.9996891,1
亚厦大道,2,35,120.861618,29.9996262,1
亚厦大道,2,35,120.861229,29.9995995,1
亚厦大道,2,35,120.860962,29.9995995,1
亚厦大道,2,35,120.860672,29.9996185,1
亚厦大道,2,35,120.86039,29.9996395,1
亚厦大道,2,35,120.860283,29.9996529,1
亚厦大道,2,35,120.860153,29.9996796,1
亚厦大道,2,35,120.860107,29.9996929,1
亚厦大道,2,35,120.860069,29.9997158,1
亚厦大道,2,35,120.860039,29.9997387,1
亚厦大道,2,35,120.860008,29.9997597,1
亚厦大道,2,35,120.860001,29.9997826,1
亚厦大道,2,35,120.859985,29.999836,1
亚厦大道,2,35,120.859962,29.9998665,1
亚厦大道,2,35,120.859947,29.999897,1
亚厦大道,2,35,120.859909,29.9999428,1
亚厦大道,2,35,120.859886,29.9999638,1
亚厦大道,2,35,120.859848,29.9999828,1
亚厦大道,2,35,120.85981,29.9999962,1
亚厦大道,2,35,120.859787,30,1
亚厦大道,2,35,120.859756,30,1
亚厦大道,2,35,120.859718,29.9999962,1
亚厦大道,2,35,120.859665,29.9999866,1
亚厦大道,2,35,120.859627,29.9999695,1
亚厦大道,2,35,120.859589,29.9999466,1
亚厦大道,2,35,120.859558,29.9999065,1
亚厦大道,2,35,120.859535,29.9998627,1
亚厦大道,2,35,120.859528,29.9998398,1
亚厦大道,2,35,120.85952,29.9998131,1
亚厦大道,2,35,120.85952,29.999752,1
亚厦大道,2,35,120.859535,29.9996929,1
亚厦大道,2,35,120.859535,29.9996758,1
亚厦大道,2,35,120.859573,29.9996262,1
亚厦大道,2,35,120.859619,29.9995956,1
亚厦大道,2,35,120.859642,29.9995785,1
亚厦大道,2,35,120.859673,29.9995689,1
亚厦大道,2,35,120.859718,29.9995556,1
亚厦大道,2,35,120.859772,29.9995518,1
亚厦大道,2,35,120.859802,29.9995556,1
舜江西路,2,30,120.863525,30.0001068,2
舜江西路,2,30,120.863487,30.0001469,2
舜江西路,2,30,120.863449,30.000164,2
舜江西路,2,30,120.863396,30.0001869,2
舜江西路,2,30,120.863358,30.0002403,2
舜江西路,2,30,120.863327,30.0002842,2
舜江西路,2,30,120.863304,30.0003338,2
舜江西路,2,30,120.863289,30.0003777,2
舜江西路,2,30,120.863289,30.0004311,2
舜江西路,2,30,120.863327,30.0013466,2
舜江西路,2,30,120.863342,30.0019817,2
舜江西路,2,30,120.863327,30.0025387,2
舜江西路,2,30,120.863251,30.0040894,2
舜江西路,2,30,120.863213,30.0051918,2
舜江西路,2,30,120.863159,30.0065193,2
舜江西路,2,30,120.862907,30.0125465,2
舜江西路,2,30,120.86277,30.0158844,2
舜江西路,2,30,120.86277,30.0161591,2
舜江西路,2,30,120.862808,30.0164223,2
舜江西路,2,30,120.862854,30.0166759,2
舜江西路,2,30,120.862854,30.0168438,2
舜江西路,2,30,120.862854,30.0168438,3
舜江西路,2,30,120.862793,30.0166798,3
舜江西路,2,30,120.862755,30.0164261,3
舜江西路,2,30,120.862717,30.0161724,3
舜江西路,2,30,120.862701,30.0158844,3
